"parameter","block","rhat","ess_bulk","ess_tail","rep","scenario","n_calib"
"U[64,2]","latent",0.998332705936937,107.51765729479,58.0750191036247,1,"primary",6
"U[65,2]","latent",0.992879956894063,76.555181254766,86.3805604546345,1,"primary",6
"U[66,2]","latent",1.03725605180996,43.9950984568393,73.2791146139013,1,"primary",6
"U[67,2]","latent",1.04182050966887,132.226696025652,95.0761828388132,1,"primary",6
"U[68,2]","latent",1.00944884200558,114.876856676916,51.8181818181818,1,"primary",6
"U[69,2]","latent",0.997286849732505,83.8376489025203,92.2645914396887,1,"primary",6
"U[70,2]","latent",1.14336102214161,73.8191704403651,95.0761828388131,1,"primary",6
"U[71,2]","latent",1.0616386703035,27.3306809586997,60.3612003176905,1,"primary",6
"U[72,2]","latent",1.00104082379684,125.983646759277,78.9378612716763,1,"primary",6
"U[73,2]","latent",1.00341206911338,76.9979075191619,98.7012987012987,1,"primary",6
"U[74,2]","latent",1.02703754240365,47.2464429159043,69.9367848283588,1,"primary",6
"U[75,2]","latent",1.00940009249518,86.2790683362881,66.0869565217391,1,"primary",6
"U[76,2]","latent",1.03076243859873,81.2958044913127,93.4809348093481,1,"primary",6
"U[77,2]","latent",1.01305204099024,66.2503422138273,86.3805604546345,1,"primary",6
"U[78,2]","latent",1.04992609831135,45.8002479781407,96.4201003916377,1,"primary",6
"U[80,2]","latent",1.00128770509679,113.289105081752,95.0761828388132,1,"primary",6
"U[81,2]","latent",1.03085425974094,70.8079667014572,91.4902449149025,1,"primary",6
"U[82,2]","latent",1.01282681690126,103.673407691016,59.1960445663585,1,"primary",6
"U[83,2]","latent",0.997732963714609,85.4179647782598,87.9983890455095,1,"primary",6
"U[84,2]","latent",1.08610839752776,42.1912735872549,60.3612003176905,1,"primary",6
"U[85,2]","latent",1.00284307274355,51.2131144508999,31.7259834091517,1,"primary",6
"U[86,2]","latent",1.00553378904816,144.126214386801,99.5500882738197,1,"primary",6
"U[87,2]","latent",0.995259443493365,152.247198959355,83.2222433822129,1,"primary",6
"U[88,2]","latent",1.01879302971446,67.9483603702882,79.5237236153708,1,"primary",6
"U[89,2]","latent",1.0138772360396,45.5408520646572,15.3411384739604,1,"primary",6
"U[90,2]","latent",1.03627221187218,53.5704334306106,93.4809348093481,1,"primary",6
"U[91,2]","latent",1.02521669576928,115.969086252204,99.5500882738197,1,"primary",6
"U[92,2]","latent",1.00241092136194,120.762232407859,60.7748517854681,1,"primary",6
"U[93,2]","latent",1.1108089547524,106.327494098713,60.7688364941056,1,"primary",6
"U[94,2]","latent",1.03394683779084,116.802699926415,93.4809348093481,1,"primary",6
"U[96,2]","latent",1.00108163625542,102.715461396475,97.2424442973748,1,"primary",6
"U[97,2]","latent",1.02902823956072,88.9787755771584,69.4145199063231,1,"primary",6
