"parameter","block","rhat","ess_bulk","ess_tail","rep","scenario","n_calib"
"U[70,2]","latent",1.00205779887598,81.476746461265,87.112417340191,1,"primary",6
"U[71,2]","latent",1.03200456325151,63.186699176092,85.5437016736811,1,"primary",6
"U[72,2]","latent",1.00052196334217,90.0096449766656,71.568948575172,1,"primary",6
"U[73,2]","latent",1.03340533226113,68.1077612016135,98.7012987012987,1,"primary",6
"U[74,2]","latent",0.984922854080969,120.706933257536,96.4201003916377,1,"primary",6
"U[75,2]","latent",1.04457226033221,34.9968594389204,97.2424442973748,1,"primary",6
"U[76,2]","latent",1.03958184028399,51.81567774938,59.0732436472347,1,"primary",6
"U[77,2]","latent",1.04737389988972,51.5824958426094,65.0713501646542,1,"primary",6
"U[78,2]","latent",0.99503434488428,79.3794910458435,93.4809348093481,1,"primary",6
"U[80,2]","latent",1.01817731628192,72.5464602736737,95.0761828388132,1,"primary",6
"U[81,2]","latent",0.995172680795738,74.763853728859,59.1960445663585,1,"primary",6
"U[82,2]","latent",0.998308225659368,135.840155821417,99.5500882738197,1,"primary",6
"U[83,2]","latent",0.999207458460075,76.9643907441993,71.568948575172,1,"primary",6
"U[84,2]","latent",1.0223501901137,64.6787876572164,58.0750191036247,1,"primary",6
"U[85,2]","latent",1.03652913337883,36.8798103248688,75.6348661633493,1,"primary",6
"U[86,2]","latent",1.01201753430658,83.6361033363907,96.4201003916377,1,"primary",6
"U[87,2]","latent",1.01174254929875,100.666562857041,81.0234541577825,1,"primary",6
"U[88,2]","latent",1.08329573173505,19.4330117739759,69.4145199063232,1,"primary",6
"U[89,2]","latent",1.04663350800896,61.0773908452024,75.0730115100498,1,"primary",6
"U[90,2]","latent",0.986219951557629,143.683694874485,93.4809348093481,1,"primary",6
"U[91,2]","latent",1.00979401788116,75.8318593973196,59.0732436472347,1,"primary",6
"U[92,2]","latent",1.00581423583449,78.4806178364445,87.112417340191,1,"primary",6
"U[93,2]","latent",1.01522608657367,59.8239501224398,83.2222433822129,1,"primary",6
"U[94,2]","latent",1.04780673446088,101.321251917189,99.5500882738197,1,"primary",6
"U[96,2]","latent",1.01427970971841,65.8334725174042,68.8965301656768,1,"primary",6
"U[97,2]","latent",1.00354421393241,60.2965926464159,51.8181818181818,1,"primary",6
"U[98,2]","latent",1.00417208053957,57.8311793635899,75.0730115100498,1,"primary",6
"U[99,2]","latent",1.04158145542081,45.6636620181756,87.9983890455095,1,"primary",6
"U[100,2]","latent",0.999635882907888,57.6444059780359,60.3612003176905,1,"primary",6
"U[102,2]","latent",0.994921951214688,107.289721142302,78.9378612716763,1,"primary",6
"U[103,2]","latent",0.994614086510281,74.7714912004163,75.6348661633493,1,"primary",6
"U[105,2]","latent",1.02349283419795,117.978943805463,99.5500882738197,1,"primary",6
"U[106,2]","latent",0.997511728029922,89.800591293074,96.4201003916377,1,"primary",6
"U[107,2]","latent",1.03523800252023,78.3912723340876,76.956942854627,1,"primary",6
"U[108,2]","latent",1.09474020470027,17.7298871677993,97.2424442973748,1,"primary",6
"U[109,2]","latent",1.0232394543983,54.5543422388883,99.5500882738197,1,"primary",6
"U[110,2]","latent",1.00861870043485,85.2167506998543,93.4809348093481,1,"primary",6
"U[111,2]","latent",0.997130531835284,68.0366958171129,96.4201003916377,1,"primary",6
"U[112,2]","latent",1.0050422605426,68.5034396153968,102.013422818792,1,"primary",6
"U[113,2]","latent",1.07358996292134,57.7125908633467,22.5051821143026,1,"primary",6
"U[114,2]","latent",0.990927980501278,152.247198959355,68.8102147417295,1,"primary",6
"U[115,2]","latent",1.04348761350097,48.734765582234,52.5764966740576,1,"primary",6
"U[116,2]","latent",1.03763541285851,110.198492909906,78.9378612716763,1,"primary",6
"U[117,2]","latent",1.0039647463505,72.7959985418261,52.519957107113,1,"primary",6
"U[118,2]","latent",1.00365022298289,152.247198959355,99.5500882738197,1,"primary",6
"U[119,2]","latent",1.01160403424739,63.8333799128671,59.0732436472347,1,"primary",6
"U[120,2]","latent",1.00167510582015,88.2347599365029,99.5500882738197,1,"primary",6
